fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,idema,nombre_estacion
2022-12-21,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24,"2,8","8,3",11:30,3194U,Ciudad Universitaria
2022-12-22,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,9",22,"0,8","7,5",14:30,3194U,Ciudad Universitaria
2022-12-23,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,4",22,"0,3","5,0",13:20,3194U,Ciudad Universitaria
2022-12-24,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23,"0,0","3,9",14:30,3194U,Ciudad Universitaria
2022-12-25,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",15,"1,1","4,7",10:40,3194U,Ciudad Universitaria
2022-12-26,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22,"0,3","3,3",16:20,3194U,Ciudad Universitaria
2022-12-27,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23,"0,3","3,6",14:30,3194U,Ciudad Universitaria
2022-12-28,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22,"0,8","5,0",14:30,3194U,Ciudad Universitaria
2022-12-29,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",22,"2,8","10,3",23:20,3194U,Ciudad Universitaria
2022-12-30,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",23,"1,7","12,5",03:10,3194U,Ciudad Universitaria
2022-12-31,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,1",99,"0,3","5,0",19:50,3194U,Ciudad Universitaria
