fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion
2024-01-01,3129,MADRID AEROPUERTO,MADRID,609,"6,6","0,0","3,0",23:55,"10,1",14:59,22.0,"1,9","6,1",16:49,"3,3","955,2",Varias,"950,9",3,85,98,04:51,61,16:18,3129,Aeropuerto Barajas
2024-01-02,3129,MADRID AEROPUERTO,MADRID,609,"4,0","2,0","0,6",06:00,"7,3",14:01,17.0,"1,4","4,7",12:27,"0,0","955,5",Varias,"951,7",24,93,100,19:30,80,12:51,3129,Aeropuerto Barajas
2024-01-03,3129,MADRID AEROPUERTO,MADRID,609,"10,0","1,5","6,7",00:00,"13,2",13:04,22.0,"3,6","11,7",10:20,"0,0","952,6",Varias,"949,7",15,94,100,Varias,88,16:11,3129,Aeropuerto Barajas
2024-01-04,3129,MADRID AEROPUERTO,MADRID,609,"9,2","8,0","7,8",23:48,"10,5",Varias,99.0,"0,8","7,8",Varias,"0,0","951,9",00,"941,6",24,99,100,Varias,87,21:04,3129,Aeropuerto Barajas
2024-01-05,3129,MADRID AEROPUERTO,MADRID,609,"7,6","1,3","5,2",06:30,"10,1",14:06,27.0,"5,6","11,7",19:11,"5,4","946,2",Varias,"939,4",5,70,100,00:24,52,16:30,3129,Aeropuerto Barajas
2024-01-06,3129,MADRID AEROPUERTO,MADRID,609,"5,4","0,0","0,4",23:50,"10,3",14:03,99.0,"1,4","6,7",Varias,"6,1","953,3",Varias,"946,2",0,67,90,23:52,47,14:34,3129,Aeropuerto Barajas
2024-01-07,3129,MADRID AEROPUERTO,MADRID,609,"4,8","0,0","-1,1",02:32,"10,7",13:44,36.0,"1,4","6,7",14:44,"8,7","955,1",Varias,"952,6",15,68,96,08:18,44,14:14,3129,Aeropuerto Barajas
2024-01-08,3129,MADRID AEROPUERTO,MADRID,609,"2,6","0,0","-3,2",07:33,"8,4",13:05,22.0,"1,4","4,7",13:04,"5,3","953,7",00,"950,6",15,70,97,08:33,48,13:08,3129,Aeropuerto Barajas
2024-01-09,3129,MADRID AEROPUERTO,MADRID,609,"5,4","0,0","3,3",00:05,"7,6",15:01,23.0,"2,2","6,1",12:50,"0,5","952,1",Varias,"949,9",16,82,91,22:45,71,14:32,3129,Aeropuerto Barajas
2024-01-10,3129,MADRID AEROPUERTO,MADRID,609,"6,5","0,0","4,4",Varias,"8,6",15:08,22.0,"3,6","9,2",20:41,"0,0","951,7",Varias,"949,2",18,86,95,23:49,75,16:20,3129,Aeropuerto Barajas
2024-01-11,3129,MADRID AEROPUERTO,MADRID,609,"4,6","0,0","0,0",Varias,"9,2",15:19,4.0,"1,1","5,8",16:20,"6,8","955,8",Varias,"950,0",1,73,100,Varias,50,15:28,3129,Aeropuerto Barajas
2024-01-12,3129,MADRID AEROPUERTO,MADRID,609,"2,6","0,0","-3,3",08:00,"8,6",14:22,99.0,"1,4","4,2",Varias,"5,9","958,4",Varias,"955,5",1,76,94,08:41,50,15:05,3129,Aeropuerto Barajas
2024-01-13,3129,MADRID AEROPUERTO,MADRID,609,"3,9","0,0","-1,0",01:06,"8,8",15:24,99.0,"0,8","3,6",Varias,"1,5","958,9",Varias,"954,3",24,82,93,21:51,67,13:22,3129,Aeropuerto Barajas
