fecha,indicativo,nombre,provincia,altitud,prec,dir,velmedia,racha,horaracha,idema,nombre_estacion
2023-01-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,2",24.0,"0,6","6,7",23:30,3194U,Ciudad Universitaria
2023-01-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"0,0","6,1",00:10,3194U,Ciudad Universitaria
2023-01-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",,,,,3194U,Ciudad Universitaria
2023-01-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",24.0,"0,3","3,6",14:50,3194U,Ciudad Universitaria
2023-01-06,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99.0,"0,3","4,2",Varias,3194U,Ciudad Universitaria
2023-01-07,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"5,7",22.0,"0,3","3,6",09:00,3194U,Ciudad Universitaria
2023-01-08,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"5,7",24.0,"5,0","15,8",14:20,3194U,Ciudad Universitaria
2023-01-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",27.0,"3,3","12,8",09:50,3194U,Ciudad Universitaria
2023-01-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,2",5.0,"0,6","4,2",18:20,3194U,Ciudad Universitaria
2023-01-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,1",23.0,"0,8","4,7",14:20,3194U,Ciudad Universitaria
2023-01-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",7.0,"0,8","4,4",09:00,3194U,Ciudad Universitaria
2023-01-14,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",25.0,"0,3","3,1",13:50,3194U,Ciudad Universitaria
2023-01-15,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",28.0,"3,1","10,8",16:40,3194U,Ciudad Universitaria
