fecha,indicativo,nombre,provincia,altitud,prec,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion,hrMedia
2025-01-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,53,14:10,3194U,Ciudad Universitaria,
2025-01-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,63,Varias,3194U,Ciudad Universitaria,
2025-01-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,6",99,Varias,74,13:20,3194U,Ciudad Universitaria,
2025-01-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,2",99,Varias,90,Varias,3194U,Ciudad Universitaria,
2025-01-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"3,0",99,Varias,78,20:20,3194U,Ciudad Universitaria,
2025-01-06,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,5",99,Varias,59,14:40,3194U,Ciudad Universitaria,
2025-01-07,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",95,Varias,55,12:00,3194U,Ciudad Universitaria,
2025-01-08,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"1,9",99,Varias,66,Varias,3194U,Ciudad Universitaria,
2025-01-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,80,15:10,3194U,Ciudad Universitaria,
2025-01-10,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,74,14:30,3194U,Ciudad Universitaria,
2025-01-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,41,14:10,3194U,Ciudad Universitaria,
2025-01-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,01:20,25,14:40,3194U,Ciudad Universitaria,
2025-01-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",92,07:10,14,14:50,3194U,Ciudad Universitaria,
2025-01-14,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",70,00:00,11,15:10,3194U,Ciudad Universitaria,
2025-01-15,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",90,Varias,22,14:40,3194U,Ciudad Universitaria,
2025-01-16,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",93,07:10,28,Varias,3194U,Ciudad Universitaria,
2025-01-17,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",87,23:50,42,15:40,3194U,Ciudad Universitaria,
2025-01-18,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,37,15:10,3194U,Ciudad Universitaria,
2025-01-19,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,8",99,Varias,48,13:50,3194U,Ciudad Universitaria,
2025-01-20,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"14,8",99,Varias,83,00:00,3194U,Ciudad Universitaria,
2025-01-21,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"14,1",99,Varias,88,23:20,3194U,Ciudad Universitaria,
2025-01-22,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"8,9",99,Varias,80,14:00,3194U,Ciudad Universitaria,
2025-01-23,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"2,3",99,Varias,86,14:10,3194U,Ciudad Universitaria,
2025-01-24,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,75,15:40,3194U,Ciudad Universitaria,
2025-01-25,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,8",99,Varias,83,15:10,3194U,Ciudad Universitaria,
2025-01-26,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"8,6",99,Varias,86,13:20,3194U,Ciudad Universitaria,
2025-01-27,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"2,1",99,Varias,70,Varias,3194U,Ciudad Universitaria,
2025-01-28,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,07:30,48,14:10,3194U,Ciudad Universitaria,
2025-01-29,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"6,0",99,Varias,89,00:00,3194U,Ciudad Universitaria,
2025-01-30,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,1",99,Varias,33,15:20,3194U,Ciudad Universitaria,
2025-01-31,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",91,07:40,33,13:50,3194U,Ciudad Universitaria,59.0
2025-02-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,44,15:20,3194U,Ciudad Universitaria,
2025-02-02,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,49,13:30,3194U,Ciudad Universitaria,
2025-02-03,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",92,23:59,35,14:20,3194U,Ciudad Universitaria,
2025-02-04,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,39,Varias,3194U,Ciudad Universitaria,
2025-02-05,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,20,15:00,3194U,Ciudad Universitaria,
2025-02-06,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",97,Varias,33,14:10,3194U,Ciudad Universitaria,
2025-02-07,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"7,5",99,Varias,69,11:20,3194U,Ciudad Universitaria,
2025-02-08,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,1",99,Varias,43,15:40,3194U,Ciudad Universitaria,
2025-02-09,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,62,14:50,3194U,Ciudad Universitaria,
2025-02-10,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,61,13:50,3194U,Ciudad Universitaria,
2025-02-11,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"16,3",99,Varias,60,15:50,3194U,Ciudad Universitaria,
2025-02-12,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,44,15:30,3194U,Ciudad Universitaria,
2025-02-13,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,52,Varias,3194U,Ciudad Universitaria,
2025-02-14,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,43,15:50,3194U,Ciudad Universitaria,
2025-02-15,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,46,17:00,3194U,Ciudad Universitaria,
2025-02-16,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,33,14:10,3194U,Ciudad Universitaria,
2025-02-17,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,50,Varias,3194U,Ciudad Universitaria,
2025-02-18,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",98,02:10,48,15:20,3194U,Ciudad Universitaria,
2025-02-19,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,07:30,55,Varias,3194U,Ciudad Universitaria,
2025-02-20,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,54,16:10,3194U,Ciudad Universitaria,
2025-02-21,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"1,1",99,Varias,51,16:20,3194U,Ciudad Universitaria,
2025-02-22,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,34,15:50,3194U,Ciudad Universitaria,
2025-02-23,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,38,14:20,3194U,Ciudad Universitaria,
2025-02-24,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,Varias,48,15:20,3194U,Ciudad Universitaria,
2025-02-25,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",95,08:00,40,16:40,3194U,Ciudad Universitaria,
2025-02-26,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"0,0",99,06:40,36,14:40,3194U,Ciudad Universitaria,
2025-02-27,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"2,7",99,09:00,48,16:30,3194U,Ciudad Universitaria,
2025-02-28,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"1,8",96,02:30,41,16:10,3194U,Ciudad Universitaria,60.0
2025-03-01,3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,664,"10,3",99,Varias,64,00:00,3194U,Ciudad Universitaria,
