fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion
2025-01-01,3195,"MADRID, RETIRO",MADRID,667,"5,8","0,0","1,5",07:40,"10,2",15:00,5.0,"0,8","5,3",09:40,"951,6",10,"948,8",14,72.0,86.0,Varias,58.0,14:50,3195,Madrid Retiro
2025-01-02,3195,"MADRID, RETIRO",MADRID,667,"5,8","0,0","1,3",08:10,"10,2",15:00,99.0,"1,4","4,7",Varias,"950,3",10,"947,0",15,81.0,95.0,05:20,60.0,14:50,3195,Madrid Retiro
2025-01-03,3195,"MADRID, RETIRO",MADRID,667,"5,0","0,0","1,0",07:00,"9,0",16:00,99.0,"0,8","4,7",14:50,"947,9",11,"945,5",Varias,88.0,99.0,05:40,72.0,15:50,3195,Madrid Retiro
2025-01-04,3195,"MADRID, RETIRO",MADRID,667,"5,2","0,0","3,2",01:50,"7,3",16:50,22.0,"0,8","3,9",14:00,"946,4",10,"941,3",24,,,,,,3195,Madrid Retiro
2025-01-05,3195,"MADRID, RETIRO",MADRID,667,"7,8","1,7","5,2",07:50,"10,4",14:30,23.0,"1,7","8,9",19:00,"941,3",00,"929,5",24,85.0,98.0,07:40,74.0,19:40,3195,Madrid Retiro
2025-01-06,3195,"MADRID, RETIRO",MADRID,667,"8,4","0,0","5,8",22:00,"11,1",13:20,31.0,"3,1","11,4",15:10,"938,5",24,"927,3",06,70.0,99.0,01:50,55.0,14:00,3195,Madrid Retiro
2025-01-07,3195,"MADRID, RETIRO",MADRID,667,"5,8","0,0","3,1",08:10,"8,6",13:40,22.0,"2,2","8,9",15:50,"943,5",21,"938,4",00,77.0,91.0,23:00,64.0,12:40,3195,Madrid Retiro
2025-01-08,3195,"MADRID, RETIRO",MADRID,667,"9,5","1,6","7,5",09:50,"11,5",14:50,26.0,"3,1","10,8",13:40,"943,2",00,"938,5",16,79.0,,,,,3195,Madrid Retiro
2025-01-09,3195,"MADRID, RETIRO",MADRID,667,"11,0","0,0","8,6",23:59,"13,5",15:20,28.0,"3,6","9,7",05:40,"946,8",24,"940,0",00,89.0,,,,,3195,Madrid Retiro
2025-01-10,3195,"MADRID, RETIRO",MADRID,667,"10,2","0,0","6,9",09:10,"13,5",15:40,23.0,"1,4","5,6",15:40,"949,2",11,"946,4",Varias,,,,,,3195,Madrid Retiro
2025-01-11,3195,"MADRID, RETIRO",MADRID,667,"14,4","0,0","9,9",01:50,"18,9",14:00,32.0,"3,1","10,3",11:40,"949,6",22,"945,9",08,71.0,99.0,Varias,45.0,14:30,3195,Madrid Retiro
2025-01-12,3195,"MADRID, RETIRO",MADRID,667,"9,5","0,0","5,0",07:00,"14,0",15:00,36.0,"2,2","10,0",17:30,"951,1",11,"948,0",16,48.0,80.0,08:50,29.0,15:30,3195,Madrid Retiro
2025-01-13,3195,"MADRID, RETIRO",MADRID,667,"5,5","0,0","-0,4",08:00,"11,4",16:00,9.0,"0,8","5,3",23:10,"949,4",11,"946,2",16,39.0,79.0,08:40,17.0,14:30,3195,Madrid Retiro
2025-01-14,3195,"MADRID, RETIRO",MADRID,667,"5,7","0,0","0,8",08:30,"10,6",16:00,4.0,"1,4","8,1",01:30,"952,3",11,"948,8",01,28.0,55.0,23:20,17.0,16:10,3195,Madrid Retiro
2025-01-15,3195,"MADRID, RETIRO",MADRID,667,"4,4","0,0","-1,5",07:00,"10,2",15:50,21.0,"1,4","3,3",13:20,"950,3",00,"944,5",24,47.0,69.0,03:10,26.0,14:20,3195,Madrid Retiro
2025-01-16,3195,"MADRID, RETIRO",MADRID,667,"6,0","0,0","-0,3",06:20,"12,4",15:00,9.0,"1,4","9,2",16:40,"947,4",24,"941,8",Varias,56.0,82.0,06:40,31.0,14:40,3195,Madrid Retiro
2025-01-17,3195,"MADRID, RETIRO",MADRID,667,"6,8","0,0","3,0",06:00,"10,6",14:00,4.0,"3,1","11,7",10:00,"950,3",11,"947,3",00,59.0,74.0,07:00,46.0,Varias,3195,Madrid Retiro
