fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion
2024-01-01,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,6","0,0","2,5",04:30,"10,6",14:50,25,"1,4","7,2",14:10,"5,5","942,9",23,"938,6",03,86,100.0,Varias,50.0,15:00,3196,Cuatro Vientos
2024-01-02,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,8","1,0","2,6",06:00,"9,1",23:59,22,"0,6","7,8",23:30,"0,0","943,1",Varias,"939,1",24,95,100.0,Varias,86.0,Varias,3196,Cuatro Vientos
2024-01-03,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,4","1,3","8,7",Varias,"12,2",12:00,19,"4,2","12,5",17:40,"0,0","940,7",10,"937,3",17,96,100.0,Varias,85.0,12:00,3196,Cuatro Vientos
2024-01-04,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,8","8,9","8,4",Varias,"11,1",12:20,21,"0,8","7,8",23:00,"0,0","939,8",00,"929,8",24,100,100.0,Varias,90.0,12:05,3196,Cuatro Vientos
2024-01-05,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,3","0,0","4,0",07:20,"8,6",15:26,29,"4,7","14,4",13:40,"7,8","934,7",Varias,"927,8",Varias,68,100.0,Varias,50.0,16:26,3196,Cuatro Vientos
2024-01-06,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,2","0,0","3,4",07:00,"9,1",14:50,29,"3,3","14,4",02:50,"8,6","941,2",23,"934,5",00,61,69.0,06:00,47.0,16:00,3196,Cuatro Vientos
2024-01-07,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,0","0,0","1,6",08:00,"10,5",15:30,99,"0,8","5,6",Varias,"8,1","942,8",10,"940,5",15,65,86.0,07:00,41.0,14:00,3196,Cuatro Vientos
2024-01-08,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"3,4","0,0","-1,4",Varias,"8,2",13:30,17,"1,4","6,1",13:05,"6,3","941,5",00,"938,6",24,68,88.0,08:45,44.0,14:00,3196,Cuatro Vientos
2024-01-09,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,7",Ip,"4,0",Varias,"7,4",15:46,23,"1,4","4,7",00:30,"0,0","939,8",10,"937,7",17,81,94.0,09:00,74.0,14:00,3196,Cuatro Vientos
2024-01-10,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,0","0,8","4,0",07:00,"8,0",14:15,22,"3,6","9,7",11:50,"0,0","939,7",Varias,"937,3",19,91,100.0,Varias,83.0,14:00,3196,Cuatro Vientos
