fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion
2022-01-01,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"11,4","0,0","3,7",07:15,"19,0",14:45,35,"0,8","4,7",03:50,"8,4","949,9",10,"947,7",15,60,96,01:00,37,15:00,3196,Cuatro Vientos
2022-01-02,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,2","0,0","4,0",Varias,"16,5",15:00,12,"0,3","4,2",16:00,"7,0","950,6",10,"948,0",16,73,91,Varias,51,15:00,3196,Cuatro Vientos
2022-01-03,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,0","0,0","4,3",Varias,"15,8",13:50,22,"1,1","5,3",14:40,"7,8","948,7",00,"941,3",24,64,100,Varias,45,07:00,3196,Cuatro Vientos
2022-01-04,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,8","6,1","3,6",05:20,"12,0",13:45,26,"2,5","19,2",15:50,"1,0","941,3",00,"930,5",15,85,100,Varias,57,Varias,3196,Cuatro Vientos
2022-01-05,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,5","6,1","3,5",23:59,"9,5",13:10,29,"3,6","12,8",00:10,"5,0","939,5",11,"935,4",21,77,98,23:10,48,13:20,3196,Cuatro Vientos
2022-01-06,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"4,4","0,0","-0,6",06:30,"9,5",15:10,14,"0,8","5,6",14:50,"7,9","942,4",24,"936,4",00,79,100,Varias,49,Varias,3196,Cuatro Vientos
2022-01-07,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,8","0,0","-0,5",Varias,"12,0",15:20,02,"1,7","6,7",16:20,"8,9","949,6",Varias,"942,3",00,70,94,03:00,51,16:00,3196,Cuatro Vientos
2022-01-08,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"3,7","0,0","-1,2",07:20,"8,6",Varias,23,"1,7","9,7",19:10,"3,7","949,6",00,"943,6",22,82,97,07:50,58,14:10,3196,Cuatro Vientos
2022-01-09,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,0","0,0","4,1",00:45,"14,0",12:50,26,"6,1","16,4",11:40,"5,7","944,3",00,"941,0",21,70,85,Varias,59,Varias,3196,Cuatro Vientos
2022-01-10,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"12,0","0,0","7,1",23:59,"17,0",14:10,31,"3,3","12,5",10:10,"8,7","943,5",23,"940,3",03,64,85,Varias,55,Varias,3196,Cuatro Vientos
2022-01-11,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,9","0,0","3,3",07:20,"16,5",14:15,99,"0,8","5,6",Varias,"8,8","946,1",Varias,"943,0",01,70,88,08:00,51,Varias,3196,Cuatro Vientos
2022-01-12,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,6","0,0","2,8",06:00,"12,5",14:50,99,"1,4","8,9",Varias,"8,9","949,5",Varias,"946,0",04,55,95,06:30,24,15:50,3196,Cuatro Vientos
2022-01-13,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,4","0,0","1,0",07:40,"9,7",15:20,08,"1,9","6,1",11:30,"7,0","952,3",10,"949,5",00,65,77,Varias,55,09:30,3196,Cuatro Vientos
2022-01-14,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"4,2","0,0","-0,6",05:10,"9,0",14:40,09,"1,9","7,2",14:00,"8,9","952,3",Varias,"948,9",Varias,65,87,08:00,47,Varias,3196,Cuatro Vientos
2022-01-15,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"4,3","0,0","-1,4",06:40,"10,0",Varias,23,"1,4","4,7",14:40,"8,7","948,9",00,"945,8",15,70,91,23:59,55,14:30,3196,Cuatro Vientos
2022-01-16,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"4,4","0,0","-1,5",Varias,"10,4",15:45,12,"0,8","3,6",12:50,"7,9","951,6",24,"946,4",00,71,93,Varias,45,15:00,3196,Cuatro Vientos
2022-01-17,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,5","0,0","-1,0",06:45,"12,0",15:15,99,"0,0","3,6",Varias,"8,3","953,1",10,"949,0",18,66,94,06:30,37,15:10,3196,Cuatro Vientos
2022-01-18,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,6","0,0","-0,9",05:00,"14,0",15:10,35,"1,1","3,6",07:20,"9,0","950,5",10,"948,0",15,58,90,04:00,36,15:30,3196,Cuatro Vientos
2022-01-19,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,7","0,0","-0,8",06:45,"14,2",15:15,26,"1,7","4,7",19:30,"9,1","950,5",11,"947,5",15,46,68,Varias,28,15:00,3196,Cuatro Vientos
2022-01-20,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,9","0,0","0,2",07:20,"13,6",14:05,99,"1,1","6,7",Varias,"9,1","948,6",10,"944,5",16,59,74,07:00,40,15:20,3196,Cuatro Vientos
2022-01-21,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,0","0,0","0,0",05:10,"10,0",14:30,06,"0,8","6,7",15:30,"8,4","946,6",24,"943,3",16,66,94,07:00,40,16:00,3196,Cuatro Vientos
2022-01-22,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,4","0,0","0,0",Varias,"10,8",15:10,03,"1,4","4,7",00:10,"8,1","949,0",10,"946,1",17,64,86,23:59,50,00:10,3196,Cuatro Vientos
2022-01-23,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,4","0,0","0,9",02:45,"9,9",15:30,36,"1,7","5,3",11:30,"4,0","947,1",10,"944,0",15,72,87,Varias,65,Varias,3196,Cuatro Vientos
2022-01-24,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,7","0,0","2,8",04:30,"8,6",15:00,03,"1,9","6,1",03:40,"0,0","949,0",24,"945,0",03,71,96,05:30,54,15:00,3196,Cuatro Vientos
2022-01-25,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,6","0,0","5,0",23:59,"10,2",Varias,11,"1,7","7,8",13:10,"1,6","950,8",Varias,"948,6",Varias,68,72,Varias,62,17:00,3196,Cuatro Vientos
2022-01-26,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,1","0,0","1,4",06:00,"10,8",Varias,99,"2,2","7,8",Varias,"8,0","949,5",00,"947,0",14,70,87,18:20,51,12:50,3196,Cuatro Vientos
2022-01-27,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,5","0,0","1,0",07:30,"14,0",15:30,10,"0,8","6,7",14:00,"8,9","949,1",10,"946,7",15,56,81,08:00,27,15:50,3196,Cuatro Vientos
2022-01-28,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,1","0,0","0,7",07:30,"15,5",14:50,09,"1,7","6,1",13:00,"9,4","951,7",24,"948,8",01,41,63,05:30,23,14:00,3196,Cuatro Vientos
2022-01-29,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,4","0,0","0,2",07:30,"16,7",Varias,04,"1,7","5,6",12:30,"9,5","953,6",10,"950,8",17,35,53,Varias,21,Varias,3196,Cuatro Vientos
2022-01-30,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,4","0,0","1,2",06:30,"17,6",15:00,99,"1,1","4,2",Varias,"8,9","951,2",00,"946,0",17,31,49,06:00,17,15:00,3196,Cuatro Vientos
2022-01-31,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,6","0,0","1,0",04:20,"18,2",15:10,36,"1,1","9,2",23:20,"9,1","948,4",23,"944,9",16,43,64,Varias,26,Varias,3196,Cuatro Vientos
2022-02-01,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,1","0,0","2,4",06:40,"17,8",13:30,02,"4,7","15,6",12:50,"9,5","949,8",22,"945,6",14,55,74,07:00,40,Varias,3196,Cuatro Vientos
2022-02-02,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"11,8","0,0","3,1",07:00,"20,5",15:30,08,"1,7","5,3",00:10,"9,5","949,6",01,"944,4",24,58,89,Varias,34,16:00,3196,Cuatro Vientos
2022-02-03,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,4","0,0","2,8",05:10,"17,9",13:50,23,"1,7","6,7",18:10,"7,0","944,5",00,"941,2",17,59,80,04:30,42,15:20,3196,Cuatro Vientos
2022-02-04,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,4","0,0","4,7",07:30,"14,0",15:10,19,"0,6","5,6",14:40,"2,4","943,0",11,"940,5",15,75,91,07:10,51,16:50,3196,Cuatro Vientos
2022-02-05,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,5","0,0","6,0",Varias,"15,0",14:20,03,"1,9","10,8",10:50,"8,2","946,5",24,"942,6",00,61,83,01:00,48,15:00,3196,Cuatro Vientos
2022-02-06,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,8","0,0","2,2",07:50,"15,5",16:15,99,"1,1","5,6",Varias,"9,3","949,4",Varias,"946,3",04,52,70,23:59,40,12:00,3196,Cuatro Vientos
2022-02-07,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,2","0,0","2,0",06:00,"18,5",15:50,05,"1,4","7,2",22:40,"9,8","949,9",09,"946,0",16,45,75,02:00,29,13:00,3196,Cuatro Vientos
2022-02-08,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"11,4","0,0","4,0",04:30,"18,7",16:10,08,"1,9","7,2",11:00,"9,9","950,7",11,"947,7",17,53,68,05:00,44,13:00,3196,Cuatro Vientos
2022-02-09,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,2","0,0","3,0",07:20,"15,4",14:40,14,"1,7","5,6",14:40,"9,6","950,5",11,"947,6",17,61,80,07:00,40,15:00,3196,Cuatro Vientos
2022-02-10,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,4","0,0","2,5",07:10,"16,4",Varias,17,"0,8","5,6",13:40,"8,6","948,8",09,"945,4",16,63,87,07:00,42,14:30,3196,Cuatro Vientos
2022-02-11,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,6","0,0","4,0",07:30,"17,2",15:40,06,"0,8","4,7",18:30,"8,0","946,8",09,"943,8",16,61,89,06:30,37,15:50,3196,Cuatro Vientos
2022-02-12,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,0","0,0","4,5",06:30,"15,5",14:50,99,"1,7","5,6",Varias,"6,7","944,6",00,"941,4",17,62,90,06:15,39,14:10,3196,Cuatro Vientos
