fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,idema,nombre_estacion,sol
2025-01-01,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,2","0,0","1,0",Varias,"11,5",13:50,14,"0,8","4,7",14:30,"950,1",11,"947,6",Varias,73,87,01:00,58,Varias,3196,Cuatro Vientos,
2025-01-02,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,8","0,0","0,5",06:30,"11,0",Varias,24,"2,2","6,7",Varias,"948,8",Varias,"945,8",15,76,96,07:00,58,13:00,3196,Cuatro Vientos,
2025-01-03,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"4,1",Ip,"-1,0",Varias,"9,2",Varias,99,"1,4","6,7",Varias,"946,5",Varias,"944,2",15,88,100,Varias,71,12:00,3196,Cuatro Vientos,
2025-01-04,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"4,8","0,2","2,0",Varias,"7,7",Varias,24,"1,4","4,7",13:10,"944,9",11,"940,0",24,94,100,Varias,85,Varias,3196,Cuatro Vientos,
2025-01-05,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,5","1,6","4,0",Varias,"11,0",Varias,99,"4,2","10,8",18:10,"940,0",00,"928,0",24,83,96,08:00,72,21:00,3196,Cuatro Vientos,
2025-01-06,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,8","0,1","4,6",23:00,"11,0",13:15,28,"3,9","11,9",14:40,"937,4",24,"926,2",06,72,97,07:00,53,Varias,3196,Cuatro Vientos,
2025-01-07,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,0","0,0","2,8",07:00,"9,1",Varias,23,"4,4","12,8",15:40,"942,2",21,"937,2",01,79,92,Varias,66,11:00,3196,Cuatro Vientos,
2025-01-08,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,1","1,7","7,0",Varias,"11,2",13:50,21,"4,4","13,3",14:10,"941,9",Varias,"937,6",Varias,84,100,Varias,59,14:00,3196,Cuatro Vientos,
2025-01-09,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,4","0,0","7,3",05:30,"13,5",14:30,22,"6,1","13,3",01:40,"945,5",Varias,"938,6",01,89,99,Varias,75,15:00,3196,Cuatro Vientos,
2025-01-10,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,3","0,0","6,6",07:00,"14,0",14:00,22,"1,7","8,9",23:00,"948,0",11,"945,2",05,91,100,Varias,70,14:00,3196,Cuatro Vientos,
2025-01-11,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"13,8","0,0","9,0",07:30,"18,5",13:30,30,"5,3","14,4",13:40,"948,1",22,"944,7",07,70,100,Varias,38,14:00,3196,Cuatro Vientos,
2025-01-12,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,0","0,0","4,0",Varias,"16,0",15:00,99,"1,7","10,3",Varias,"949,9",10,"946,9",Varias,62,94,02:00,35,15:00,3196,Cuatro Vientos,
2025-01-13,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,5","0,0","-1,5",Varias,"12,5",16:00,99,"1,7","4,7",Varias,"947,7",Varias,"945,2",16,52,81,00:00,28,14:00,3196,Cuatro Vientos,
2025-01-14,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,0","0,0","-0,8",07:00,"12,8",16:01,99,"1,4","6,1",Varias,"950,7",10,"947,4",00,53,75,23:59,36,16:00,3196,Cuatro Vientos,
2025-01-15,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"4,9","0,0","-3,0",07:00,"12,8",14:30,24,"0,8","4,7",14:40,"948,7",00,"943,1",24,70,95,07:00,46,14:00,3196,Cuatro Vientos,
2025-01-16,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,4","0,0","-1,0",06:05,"13,7",14:20,06,"2,8","10,3",20:40,"946,0",24,"940,5",14,52,77,03:30,32,15:00,3196,Cuatro Vientos,
2025-01-17,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"6,5","0,0","1,5",03:50,"11,5",15:15,03,"2,2","9,2",10:00,"949,0",11,"946,0",Varias,63,94,23:00,49,14:00,3196,Cuatro Vientos,
2025-01-18,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,6","0,0","-0,7",07:45,"12,0",15:30,99,"1,4","4,2",Varias,"947,5",00,"942,3",24,66,100,05:00,40,14:00,3196,Cuatro Vientos,
2025-01-19,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"4,2","0,8","-2,0",07:00,"10,5",15:30,21,"0,8","8,9",15:40,"942,3",00,"938,3",15,75,92,03:30,52,Varias,3196,Cuatro Vientos,
2025-01-20,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,2","8,2","3,5",04:45,"7,0",Varias,16,"1,4","6,1",11:30,"938,5",00,"935,2",24,96,100,Varias,87,00:00,3196,Cuatro Vientos,
2025-01-21,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,4","9,7","6,0",Varias,"10,8",Varias,17,"2,2","7,8",17:50,"935,3",00,"931,7",24,98,100,Varias,89,23:00,3196,Cuatro Vientos,
2025-01-22,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,6","7,8","8,5",23:59,"12,6",13:30,20,"5,6","9,7",08:35,"933,3",24,"929,6",14,88,100,Varias,76,14:00,3196,Cuatro Vientos,
2025-01-23,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"11,0","1,1","7,6",Varias,"14,5",Varias,22,"1,4","5,3",13:30,"940,4",24,"933,1",01,91,100,Varias,80,15:00,3196,Cuatro Vientos,
2025-01-24,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"11,5","0,5","9,5",Varias,"13,5",Varias,22,"3,3","9,2",16:00,"941,9",11,"937,5",24,88,100,Varias,67,14:45,3196,Cuatro Vientos,
2025-01-25,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,2","0,9","6,9",23:59,"11,5",15:30,22,"3,9","11,4",16:45,"941,0",24,"935,7",05,90,98,23:00,79,16:00,3196,Cuatro Vientos,
2025-01-26,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,8","1,4","4,5",03:30,"13,0",23:30,19,"4,2","11,9",18:10,"941,0",00,"932,0",24,88,100,Varias,84,18:00,3196,Cuatro Vientos,
2025-01-27,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"11,4","2,9","6,7",23:59,"16,0",13:30,22,"10,0","21,1",15:50,"935,5",24,"928,6",15,81,98,05:00,60,14:00,3196,Cuatro Vientos,
2025-01-28,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,2","0,0","4,5",08:00,"12,0",14:30,26,"6,1","19,7",13:30,"945,2",Varias,"934,8",01,69,97,Varias,45,19:00,3196,Cuatro Vientos,
2025-01-29,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,0","5,3","3,7",03:00,"10,2",Varias,22,"4,4","13,9",16:30,"945,1",00,"931,0",18,96,100,Varias,86,12:00,3196,Cuatro Vientos,
2025-01-30,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,6","0,0","2,9",02:01,"12,3",15:01,29,"5,3","13,9",07:30,"947,5",24,"932,9",01,51,100,Varias,36,18:00,3196,Cuatro Vientos,
2025-01-31,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,5","0,0","-0,5",07:00,"11,5",15:01,01,"1,4","7,8",01:20,"949,2",11,"946,5",24,63,90,07:00,38,14:10,3196,Cuatro Vientos,
2025-02-01,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,2","0,0","0,5",06:20,"14,0",14:50,26,"1,7","9,2",14:30,"946,5",00,"939,7",16,66,89,07:00,50,13:00,3196,Cuatro Vientos,
2025-02-02,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,9","0,0","0,6",07:00,"11,2",Varias,03,"1,4","10,3",23:59,"941,2",24,"938,2",15,70,89,08:00,54,Varias,3196,Cuatro Vientos,
2025-02-03,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,0","0,0","3,0",04:30,"13,0",15:30,03,"2,5","10,8",00:40,"945,4",24,"941,2",00,55,80,05:00,32,14:00,3196,Cuatro Vientos,
2025-02-04,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,0","0,0","1,5",07:30,"14,5",15:15,17,"1,9","5,3",14:00,"951,0",24,"945,4",Varias,61,84,Varias,40,Varias,3196,Cuatro Vientos,
2025-02-05,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,8","0,0","2,0",Varias,"15,7",15:50,26,"1,1","5,3",20:00,"953,2",11,"950,1",Varias,56,88,08:00,31,15:00,3196,Cuatro Vientos,
2025-02-06,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,5","0,0","1,0",Varias,"14,0",14:45,17,"1,7","4,7",15:20,"950,5",00,"943,5",24,59,84,23:59,40,16:00,3196,Cuatro Vientos,
2025-02-07,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"5,0","4,7","0,0",06:00,"10,1",11:40,21,"3,1","11,4",Varias,"943,5",00,"936,2",17,92,100,06:00,78,Varias,3196,Cuatro Vientos,
2025-02-08,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"7,8","0,0","2,8",07:00,"12,9",Varias,99,"2,8","6,1",Varias,"945,2",Varias,"937,2",00,87,100,Varias,57,16:00,3196,Cuatro Vientos,
2025-02-09,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"8,6","0,3","2,4",Varias,"14,8",15:55,99,"0,3","3,6",Varias,"946,7",10,"943,4",24,83,100,Varias,58,15:00,3196,Cuatro Vientos,
2025-02-10,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,2","0,0","6,5",05:30,"14,0",14:45,11,"1,9","5,6",13:05,"943,4",00,"938,4",18,81,100,Varias,70,Varias,3196,Cuatro Vientos,
2025-02-11,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"9,3","12,8","4,4",06:00,"14,2",14:20,20,"2,2","8,3",19:35,"939,2",09,"934,5",24,80,100,Varias,71,Varias,3196,Cuatro Vientos,
2025-02-12,3196,"MADRID, CUATRO VIENTOS",MADRID,690,"10,0","0,0","6,5",07:00,"13,6",15:01,29,"4,2","13,9",11:50,"941,0",24,"933,8",02,75,100,Varias,57,14:45,3196,Cuatro Vientos,
